id;group_name;email;admin_user
1;quaintly satirise since;Olga.Osinski@hotmail.com;brr huzzah
2;reject camel though;Geovanny.Lind91@yahoo.com;refit tensely across
3;half-sister black-and-white;Major62@hotmail.com;sadly multiply
4;mall oh or;Mavis.Gusikowski@gmail.com;who
5;between boohoo pencil;Alanis.Friesen@hotmail.com;quell throughout generous
6;geez who;Lorenz_Jast@hotmail.com;boastfully oh duh
7;retrace;Garrett.Mitchell87@gmail.com;fragment hence
8;provided champagne aside;Marco_Stamm@gmail.com;trained feud ick
9;blend;Imani_Feest37@hotmail.com;nose sadly
10;commute pilgrim;Herman9@hotmail.com;toward rumor
